Title,Year,Category,Session,Author,Keywords,Speed,Accuracy,Scability,Efficiency,Effectiveness,Satisfaction,Utility,Learnability,Adoption,Productivity,Computational experiments,Subjective experiments ,Case study,Comparison with other method,Empirical analysis,User Study ,Theoretical Analysis
Efficient Structure-Aware Selection Techniques for 3D Point Cloud Visualizations with 2DOF Input ,2012,SciVis,Interaction And Rendering,"Lingyun Yu, Konstantinos Efstathiou, Petra Isenberg, Tobias Isenberg","3D interaction, spatial selection, direct-touch interaction",,,,,,,,,,,,,,,,,
Sketching Uncertainty into Simulations ,2012,SciVis,Interaction And Rendering,"Hrvoje Ribičić, Jürgen Waser, Roman Gurbat, Bernhard Sadransky, M. Eduard Gröller","Emergency/disaster management, interaction design, uncertainty visualization, sketch-based steering, ensemble simulation steering, integrated visualization system, flood management",,,,,,,,,,,,,,,,,
A Perceptual-Statistics Shading Model,2012,SciVis,Interaction And Rendering,"Veronika Šoltészová, Cagatay Turkay, Mark C. Price, Ivan Viola","Dimension reduction, mass spectrometry data, matrix factorization, visual encodings of numerical error metrics, multidimensional data visualization",,,,,,,,,,,,,,,,,
Visual Steering and Verification of Mass Spectrometry Data Factorization in Air Quality Research,2012,SciVis,Interaction And Rendering,"Daniel Engel, Klaus Greff, Christoph Garth, Keith Bein, Anthony Wexler, Bernd Hamann, Hans Hagen","Picking, volume rendering, WYSIWYG",,,,,,,,,,,,,,,,,
 Interactive Volume Exploration of Petascale Microscopy Data Streams Using a Visualization-Driven Virtual Memory Approach,2012,SciVis,Volume Data Handling,"Markus Hadwiger, Johanna Beyer, Won-Ki Jeong, Hanspeter Pfister","Volume compression, lossless compression, floating-point compression",,,,,,,,,,,,,,,,,
An Adaptive Prediction-Based Approach to Lossless Compression of Floating-Point Volume Data,2012,SciVis,Volume Data Handling,"Nathaniel Fout, Kwan-Liu Ma","Finite element visualization, GPU-based ray-casting",,,,,,,,,,,,,,,,,
On the Interpolation of Data with Normally Distributed Uncertainty for Visualization ,2012,SciVis,Volume Data Handling,"Steven Schlegel, Nico Korn, Gerik Scheuermann","High-order finite elements, spectral/hp elements, discontinuous Galerkin, fluid flow simulation, cut surface extraction, contours, isosurfaces",,,,,,,,,,,,,,,,,
Coherency-Based Curve Compression for High-Order Finite Element Model Visualization,2012,SciVis,Volume Data Handling,"Alexander Bock, Erik Sundén, Bingchen Liu, Burkhard Wünsche, Timo Ropinski","Petascale volume exploration, high-resolution microscopy, high-throughput imaging, neuroscience",,,,,,,,,,,,,,,,,
ElVis: A System for the Accurate and Interactive Visualization of High-Order Finite Element Solutions ,2012,SciVis,Volume Data Handling,"Blake Nelson, Eric Liu, Robert Haimes, Robert M. Kirby ","Gaussian process, uncertainty, interpolation",,,,,,,,,,,,,,,,,
Fuzzy Volume Rendering,2012,SciVis,Volume Rendering,"Nathaniel Fout, Kwan-Liu Ma","Direct volume rendering, transfer functions, vessel visualization",,,,,,,,,,,,,,,,,
Automatic Tuning of Spatially Varying Transfer Functions for Blood Vessel Visualization,2012,SciVis,Volume Rendering,"Gunnar Läthén, Stefan Lindholm, Reiner Lenz, Anders Persson, Magnus Borga","Uncertainty visualization, verifiable visualization, volume rendering",,,,,,,,,,,,,,,,,
Hierarchical Exploration of Volumes Using Multilevel Segmentation of the Intensity-Gradient Histograms,2012,SciVis,Volume Rendering,"Cheuk Yiu Ip, Amitabh Varshney, Joseph JaJa","Volume exploration, volume classification, normalized cut, Information-guided exploration",,,,,,,,,,,,,,,,,
Historygrams: Enabling Interactive Global Illumination in Direct Volume Rendering using Photon Mapping,2012,SciVis,Volume Rendering,"Daniel Jönsson, Joel Kronander, Timo Ropinski, Anders Ynnerman","Volume rendering, photon mapping, global illumination, participating media",,,,,,,,,,,,,,,,,
Structure-Aware Lighting Design for Volume Visualization,2012,SciVis,Volume Rendering,"Yubo Tao, Hai Lin, Feng Dong, Chao Wang, Gordon Clapworthy, Hujun Bao","Automatic lighting design, structural dissimilarity, lighting similarity, lighting stability, volume rendering",,,,,,,,,,,,,,,,,
Multivariate Data Analysis Using Persistence-Based Filtering and Topological Signatures,2012,SciVis,Analytics,"Bastian Rieck, Hubert Mara, Heike Leitte","Isosurfaces, Histograms",,,,,,,,,,,,,,,,,
Surface-Based Structure Analysis and Visualization for Multifield Time-Varying Datasets,2012,SciVis,Analytics,"Samer S. Barakat, Markus Rütten, Xavier Tricoche","Topological persistence, multivariate data, clustering",,,,,,,,,,,,,,,,,
Integrating Isosurface Statistics and Histograms,2012,SciVis,Analytics,"Brian Duffy, Hamish Carr, Torsten Möller","Multifield, time-varying, surface structures Interactive data exploration and discovery, Data and knowledge visualization, Clustering, classification, and association rules, Multidimensional, Information visualization",,,,,,,,,,,,,,,,,
ViSizer: A Visualization Resizing Framework,2012,SciVis,Analytics,"Yingcai Wu, Xiaotong Liu, Shixia Liu, Kwan-Liu Ma","Resizing, Information Visualization, Perception-­‐based framework, Focus and Context visualization, Non-linear least squares optimization",,,,,,,,,,,,,,,,,
 TripAdvisorN-D: A Tourism-Inspired High-Dimensional Space Exploration Framework with Overview and Detail,2012,SciVis,Analytics,"Julia EunJu Nam, Klaus Mueller","Interactive
data
exploration
and
discovery,
Data
and
knowledge
visualization,
Clustering",,,,,,,,,,,,,,,,,
