Title,Year,Category,Session,Author,Keywords,Speed,Accuracy,Scability,Efficiency,Effectiveness,Satisfaction,Utility,Learnability,Adoption,Productivity,Computational experiments,Subjective experiments ,Case study,Comparison with other method,Empirical analysis,User Study ,Theoretical Analysis
Visual Semiotics & Uncertainty Visualization: An Empirical Study,2012,InfoVis,Representation and Perception,"Alan M. MacEachren, Robert E. Roth, James O'Brien, Bonan Li, Derek Swingley, Mark Gahegan","Uncertainty visualization, uncertainty categories, visual variables, semiotics.",,,,1,,,1,,,,,1,,,,,
Comparing Clusterings Using Bertin's Idea,2012,InfoVis,Representation and Perception,"Alexander Pilhofer, Alexander Gribov, Antony Unwin","Order optimization, fluctuation diagrams, classification, seriation.",,,1,1,,,,,,,1,,,,,,
Perception of Visual Variables on Tiled Wall-Sized Displays for Information Visualization Applications,2012,InfoVis,Representation and Perception,"Anastasia Bezerianos, Petra Isenberg","Information visualization, perception, wall-displays.",,,,1,,,1,,,,,1,,,,,
Visualizing Flow of Uncertainty through Analytical Processes,2012,InfoVis,Representation and Perception,"Yingcai Wu, Guo-Xun Yuan, Kwan-Liu Ma","Uncertainty visualization, uncertainty quantification, uncertainty propagation, error ellipsoids, uncertainty fusion.",,,,,1,,,,,,,,1,,,,
Assessing the Effect of Visualizations on Bayesian Reasoning through Crowdsourcing,2012,InfoVis,Representation and Perception,"Luana Micallef, Pierre Dragicevic, Jean-Daniel Fekete","Bayesian reasoning, base rate fallacy, probabilistic judgment, Euler diagrams, glyphs, crowdsourcing.",,,,1,,,1,,,,,1,,,,1,
Organizing Search Results with a Reference Map,2012,InfoVis,Space and Maps,Arlind Nocaj and Ulrik Brandes,"Search results, mental map, voronoi treemaps, dynamic graph layout, multidimensional scaling, edge bundling.",,,1,,1,,,,,,1,,,,,,
Spatial Text Visualization Using Automatic Typographic Maps,2012,InfoVis,Space and Maps,"Shehzad Afzal, Ross Maciejewski, Yun Jang, Niklas Elmqvist,David S. Ebert, Fellow","Geovisualization, spatial data, text visualization, label placement",1,,,,,,,,,,,,1,,,,
Stacking-Based Visualization of Trajectory Attribute Data,2012,InfoVis,Space and Maps,"Christian Tominski, Heidrun Schumann, Gennady Andrienko, and Natalia Andrienko","Visualization, interaction, exploratory analysis, trajectory attribute data, spatio-temporal data.",,,,,1,,,,,,,,1,,,,
Adaptive Composite Map Projections,2012,InfoVis,Space and Maps,Bernhard Jenny,"Multi-scale map, web mapping, web cartography, web map projection, web Mercator, HTML5 Canvas",,,,,1,,,,,,,1,,,,,
Algorithms for Labeling Focus Regions,2012,InfoVis,Space and Maps,"Martin Fink, Jan-Henrik Haunert, Andr´e Schulz, Joachim Spoerhase, and Alexander Wolff","Focus+context techniques, data clustering, mobile and ubiquitous visualization, geographic/geospatial visualization",,,,,1,,,,,,1,,,,,,
Capturing the Design Space of Sequential Space-Filling Layouts,2012,InfoVis,Design Spaces,Thomas Baudel and Bertjan Broeksema,"Layout, visualization models, tables & tree layouts, grids, treemaps (slice and dice, strip, squariﬁed and pivot variations), mosaic plots, dimensional stacking.",,,,,,,1,,,,,,,,1,,
Taxonomy-Based Glyph Design—with a Case Study on Visualizing Workﬂows of Biological Experiments,2012,InfoVis,Design Spaces,"Eamonn Maguire, Philippe Rocca-Serra, Susanna-Assunta Sansone, Jim Davies, and Min Chen","Glyph-based techniques, taxonomies, design methodologies, bioinformatics visualization.",,,,,,,1,,,,,,1,,,,
An Empirical Model of Slope Ratio Comparisons,2012,InfoVis,Design Spaces,"Justin Talbot, John Gerth, and Pat Hanrahan","Banking to 45 degrees, slope perception, orientation resolution, aspect ratio selection",,1,,,,,,,1,,,,1,,,,
Representative Factor Generation for the Interactive Visual Analysis of High-Dimensional Data,2012,InfoVis,Design Spaces,"Cagatay Turkay, , Arvid Lundervold, Astri Johansen Lundervold, and Helwig Hauser, ","—Interactive visual analysis, high-dimensional data analysis.",,,,1,,,,,,,,,1,,,,
Graphical Overlays: Using Layered Elements to Aid Chart Reading,2012,InfoVis,Design Spaces,Nicholas Kong and Maneesh Agrawala,"Visualization, overlays, graphical perception, graph comprehension.",,,,,,,,,,1,,,1,,,,
Facilitating Discourse Analysis with Interactive Visualization,2012,InfoVis,Text and Time,"Jian Zhao, Fanny Chevalier, Christopher Collins, and Ravin Balakrishnan","Discourse structure, tree comparison, computational linguisitics, visual analytics, interaction techniques.",,,,,,1,,,,1,,,1,1,,,
Whisper: Tracing the Spatiotemporal Process of Information Diffusion in Real Time,2012,InfoVis,Text and Time,"Nan Cao, Yu-Ru Lin, Xiaohua Sun, David Lazer, Shixia Liu, and Huamin Qu, Member, IEEE","Information visualization, Information diffusion, Contagion, Social media, Microblogging, Spatiotemporal patterns",,,,,,1,1,,,,1,,1,,,1,
"Exploring Flow, Factors, and Outcomes of Temporal Event Sequences with the Outﬂow Visualization",2012,InfoVis,Text and Time,Krist Wongsuphasawat and David Gotz,"Outﬂow, information visualization, temporal event sequences, state diagram, state transition.",1,1,,,,,,,,,,1,,,,1,
RankExplorer: Visualization of Ranking Changes in Large Time Series Data,2012,InfoVis,Text and Time,RankExplorer: Visualization of Ranking Changes in Large Time Series Data,RankExplorer: Visualization of Ranking Changes in Large Time Series Data,,,,,,,1,,,,,,,1,,,
Design Considerations for Optimizing Storyline Visualizations,2012,InfoVis,Text and Time,"Yuzuru Tanahashi, and Kwan-Liu Ma","Layout algorithm, timeline visualization, storyline visualization, design study",,,,,,,1,,,,,,1,1,,,
Beyond Mouse and Keyboard: Expanding Design Considerations for Information Visualization Interactions,2012,InfoVis,Interaction,"Bongshin Lee, Petra Isenberg, Nathalie Henry Riche, and Sheelagh Carpendale","Design considerations, interaction, post-WIMP, NUI (Natural User Interface).",,,,,,,,,1,,,,1,,,,
Intelligent Graph Layout Using Many Users’ Input,2012,InfoVis,Interaction,"Xiaoru Yuan, Member, IEEE, Limei Che, Yifan Hu, and Xin Zhang","Graph layout, Laplacian matrix, force directed layout, stress model, merging, editing, crowd sourcing.",,,,,,,,,1,,,,,1,,,
PivotPaths: Strolling through Faceted Information Spaces,2012,InfoVis,Interaction,"Marian Dörk, Nathalie Henry Riche, Gonzalo Ramos, and Susan Dumais","Information visualization, interactivity, node-link diagrams, animation, information seeking, exploratory search.",,,,,,,,,1,,,,1,,,,
Interaction Support for Visual Comparison Inspired by Natural Behavior,2012,InfoVis,Interaction,"Christian Tominski, Camilla Forsell, and Jimmy Johansson","Interaction techniques, visual comparison, visualization, human-computer interaction, natural interaction.",,,,,,,,,1,,,,1,,,,
RelEx: Visualization for Actively Changing Overlay Network Speciﬁcations,2012,InfoVis,Interaction,"Michael Sedlmair,  Annika Frank, Tamara Munzner, and Andreas Butz","Network visualization, change management, trafﬁc routing, trafﬁc optimization, automotive, design study",,,,,,,,,1,,,,1,1,,,
Evaluating the Effect of Style in Information Visualization,2012,InfoVis,Sketching and Designing Visualizations,"Andrew Vande Moere, Martin Tomitsch, Christoph Wimmer, Christoph Boesch, and Thomas Grechenig","Visualization, design, style, aesthetics, evaluation, online study, user experience.",,,,,,,,,1,,,,,,,1,
Sketchy Rendering for Information Visualization,2012,InfoVis,Sketching and Designing Visualizations,"Jo Wood, Petra Isenberg, Tobias Isenberg, Jason Dykes, Nadia Boukhelifa, and Aidan Slingsby","NPR, non-photorealistic rendering, sketch, hand-drawn, uncertainty, visualization.",,,,,,,,,1,,,,1,,,,
An Empirical Study on Using Visual Embellishments in Visualization,2012,InfoVis,Sketching and Designing Visualizations,"Rita Borgo, Alﬁe Abdul-Rahman, Farhan Mohamed, Philip W. Grant, Irene Reppa, Luciano Floridi, and Min Chen","Visual embellishments, metaphors, icons, cognition, working memory, long-term memory, visual search, evaluation",1,,,,,,,,,,,,,,,1,
Evaluating Sketchiness as a Visual Variable for the Depiction of Qualitative Uncertainty,2012,InfoVis,Sketching and Designing Visualizations,"Nadia Boukhelifa, Anastasia Bezerianos, Tobias Isenberg,Jean-Daniel Fekete","Uncertainty visualization, qualitative evaluation, quantitative evaluation, perception",,,,,,,,,,1,,,1,,,,
Understanding Pen and Touch Interaction for Data Exploration on Interactive Whiteboards,2012,InfoVis,Sketching and Designing Visualizations,"Jagoda Walny, Bongshin Lee, Paul Johns, Nathalie Henry Riche, and Sheelagh Carpendale","Pen and touch, interaction, Wizard of Oz, whiteboard, data exploration",,,,,,,,1,,,,1,,,,,
The DeepTree Exhibit: Visualizing the Tree of Life to Facilitate Informal Learning,2012,InfoVis,Education and Popular Applications,"Florian Block, Michael S. Horn, Brenda Caldwell Phillips, Judy Diamond, E. Margaret Evans, and Chia Shen","Informal science education, , collaborative learning, large tree visualizations, multi-touch interaction
",,,,,,,1,,,,,1,,,,,
Living Liquid: Design and Evaluation of an Exploratory Visualization Tool for Museum Visitors,2012,InfoVis,Education and Popular Applications,"Joyce Ma, Isaac Liao, Kwan-Liu Ma,  Jennifer Frazier","Information visualization, user interaction, evaluation, user studies, science museums, informal learning environments.",,,,,,,,1,,,,1,,,,,
Visualizing Student Histories Using Clustering and Composition,2012,InfoVis,Education and Popular Applications,"David Trimm, Penny Rheingans, Member, IEEE, and Marie desJardins","Clustering, aggregate visualization, student performance analysis, visualization composition.",,,,,,,,1,,,,,1,,,,
SnapShot: Visualization to Propel Ice Hockey Analytics,2012,InfoVis,Education and Popular Applications,"Hannah Pileggi, Charles D. Stolper, J. Michael Boyle, and John T. Stasko,","Visual knowledge discovery, visual knowledge representation, hypothesis testing, visual evidence, human computer interaction.",,,,,,,,,1,,,1,,,,,
