Title,Year,Category,Session,Author,Keywords,Speed,Accuracy,Scability,Efficiency,Effectiveness,Satisfaction,Utility,Learnability,Adoption,Productivity,Computational experiments,Subjective experiments ,Case study,Comparison with other method,Empirical analysis,User Study ,Theoretical Analysis
"VisBricks: Multiform Visualization of Large, Inhomogeneous Data",2011,InfoVis,Systems and Frameworks,"Alexander Lex, Hans-Joerg Schulz, Marc Streit, Christian Partl, Dieter Schmalstieg","Inhomogeneous data, multiple coordinated views, multiform visualization.",,,1,,1,,1,,,,,,1,,,1,
D3: Data-Driven Documents,2011,InfoVis,Systems and Frameworks,"Michael Bostock, Vadim Ogievetsky, Jeffrey Heer","Information visualization, user interfaces, toolkits, 2D graphics.",1,,,,1,,1,,,,1,,1,1,,1,
Flexible Linked Axes for Multivariate Data Visualization,2011,InfoVis,Systems and Frameworks,"Jarry H.T. Claessen, Jarke J. van Wijk","Multivariate data, visualization, scatterplot, Parallel Coordinates Plot.",,,,1,,,1,1,,,,1,,1,,1,
Synthetic Generation of High-dimensional Datasets,2011,InfoVis,Systems and Frameworks,"Georgia Albuquerque, Thomas Löwe, Marcus Magnor","Synthetic data generation, multivariate data, high-dimensional data, interaction.",,,,,,,,,,,,,,,,,
Stereoscopic Highlighting: 2D Graph Visualization on Stereo Displays,2011,InfoVis,Graphs,"Basak Alper, Tobias Hollerer, JoAnn Kuchera-Morin, Angus Forbes","Graph visualization, stereo displays, virtual reality.",1,1,1,,,,,,,,1,,,,,,
In Situ Exploration of Large Dynamic Networks,2011,InfoVis,Graphs,"Steffen Hadlak, Hans-Jrg Schulz, Heidrun Schumann","Dynamic graph data, multiform visualization, multi-focus+context.",,,,,,,1,,1,,,,1,,,1,
Parallel Edge Splatting for Scalable Dynamic Graph Visualization,2011,InfoVis,Graphs,"Michael Burch, Corinna Vehlow, Fabian Beck, Stephan Diehl, Daniel Weiskopf","Dynamic graph visualization, graph splatting, software visualization, software evolution.",,,1,,,,,,1,,,,1,,,,
Divided Edge Bundling for Directional Network Data,2011,InfoVis,Graphs,"David Selassie, Brandon Heller, Jeffrey Heer","Graph visualization, aggregation, node-link diagrams, edge bundling, physical simulation.",1,,1,,1,,,,,,1,,1,1,,,1
Skeleton-Based Edge Bundling for Graph Visualization,2011,InfoVis,Graphs,"Ozan Ersoy, Christophe Hurter, Fernando Paulovich, Gabriel Cantareira, Alex Telea","Graph layouts, edge bundles, image-based information visualization.",1,,1,,,,,,1,,,,1,,,,1
BirdVis: Visualizing and Understanding Bird Populations,2011,InfoVis,Applications,"Nivan Ferreira, Lauro Lins, Daniel Fink, Steve Kelling, Christopher Wood, Juliana Freire, Claudio Silva",Ornithology; species distribution models; multiscale analysis; spatial data; temporal data.,,,,,1,,,,,,,,1,,,,
BallotMaps: Detecting Name Bias in Alphabetically Ordered Ballot Papers,2011,InfoVis,Applications,"Jo Wood, Donia Badawood, Jason Dykes, Aidan Slingsby","Voting, election, bias, democracy, governance, treemaps, geovisualization, hierarchy, governance.",,,,,1,,,,,,,,1,,,,
Sequence Surveyor: Leveraging Overview for Scalable Genomic Alignment Visualization,2011,InfoVis,Applications,"Danielle Albers, Colin Dewey, Michael Gleicher","Bioinformatics Visualization, Perception Theory, Scalability Issues, Visual Design.",,,1,,,,1,,,,,,1,,,1,
Visualization of Parameter Space for Image Analysis,2011,InfoVis,Applications,"A. Johannes Pretorius, Mark-Anthony P. Bray, Anne E. Carpenter, Roy A. Ruddle","Information visualization, visual analytics, parameter space, image analysis, sampling.",1,,,,1,,,,,1,,1,1,,,,
TextFlow: Towards Better Understanding of Evolving Topics in Text,2011,InfoVis,Applications,"Weiwei Cui, Shixia Liu, Li Tan, Conglei Shi, Yangqiu Song, Zekai Gao, Xin Tong, Huamin Qu","Text visualization, Topic evolution, Hierarchical Dirichlet process, Critical event.",1,,,,1,,,,,,1,,1,,,,
Exploratory Analysis of Time-series with ChronoLenses,2011,InfoVis,Times and Trees,"Jian Zhao, Fanny Chevalier, Emmanuel Pietriga, Ravin Balakrishnan","Time-series Data, Exploratory Visualization, Focus+Context, Lens, Interaction Techniques.",,,,,1,,,,,,,,1,,,,
CloudLines: Compact Display of Event Episodes in Multiple Time-Series,2011,InfoVis,Times and Trees,"Milos Krstajic, Enrico Bertini, Daniel Keim","Incremental Visualization, Event-based Data, Lens Distortion.",,,,,1,,,,,,,,1,,,,
"Evaluation of Traditional, Orthogonal, and Radial Tree Diagrams by an Eye Tracking Study",2011,InfoVis,Times and Trees,"Michael Burch, Julian Heinrich, Natalia Konevtsova, Markus Hoeferlin, Daniel Weiskopf","Hierarchy visualization, node-link layout, eye tracking, user study.",,1,,,1,,1,,,,,1,,,,1,
TreeNetViz: Revealing Patterns of Networks over Tree Structures,2011,InfoVis,Times and Trees,"Liang Gou, Xiaolong (Luke) Zhang","Compound graph, network and tree, TreeNetViz, visualization, multiscale and cross-scale.",,,,1,1,,,,,,1,,1,,,,
Improved Similarity Trees and their Application to Visual Data Classification,2011,InfoVis,Times and Trees,"Jos_ Gustavo Paiva, Laura Florian-Cruz, Helio Pedrini, Guilherme Telles, Rosane Minghim","Similarity Trees, Multidimensional Projections, Image Classification.",,1,1,1,,,,,,,1,,1,,,,1
A Study on Dual-Scale Data Charts,2011,InfoVis,Evaluation,"Petra Isenberg, Anastasia Bezerianos, Pierre Dragicevic, Jean-Daniel Fekete","Focus+Context, Quantitative Experiment, Dual-Scale Charts.",,,,,1,,,,,,,1,,,,,
Evaluation of Artery Visualizations for Heart Disease Diagnosis,2011,InfoVis,Evaluation,"Michelle Borkin, Krzysztof Gajos, Amanda Peters, Dimitrios Mitsouras, Simone Melchionna, Frank Rybic","Quantitative evaluation, qualitative evaluation, biomedical and medical visualization.",,1,,1,,,1,,,,,1,1,,,1,
Exploring Ambient and Artistic Visualization for Residential Energy Use Feedback,2011,InfoVis,Evaluation,"Johnny Rodgers, Lyn Bartram","Ambient visualization, informative art, casual infovis, sustainability, distributed visualization.",,,,1,,,1,,1,,,1,,,,1,
Human-Centered Approaches in Geovisualization Design: Investigating Multiple Methods Through a Long-Term Case Study,2011,InfoVis,Evaluation,"David Lloyd, Jason Dykes","Evaluation, geovisualization, context of use, requirements, field study, prototypes, sketching, design.",,,,,,,1,1,1,,,1,,,1,1,
Visual Thinking In Action: Visualizations As Used On Whiteboards,2011,InfoVis,Evaluation,"Jagoda Walny, Sheelagh Carpendale, Nathalie Henry Riche, Gina Venolia, Philip Fawcett","Visualization, diagrams, whiteboards, observational study.",,,,,,,,,,,,,,,,1,
Composite Density Maps for Multivariate Trajectories,2011,InfoVis,Maps and Geovisualization,"Roeland Scheepens, Niels Willems, Huub van de Wetering, Gennady Andrienko, Natalia Andrienko, Jarke J. van Wijk","Trajectories, Kernel Density Estimation, Multivariate Data, Geographical Information Systems, and Raster Maps.",,,1,,1,,,,,,,,1,,,,
Focus+Context Metro Maps,2011,InfoVis,Maps and Geovisualization,"Yu-Shuen Wang, Ming-Te Chi","Focus+context visualization, metro map, octilinear layout, graph labeling, optimization.",1,,1,1,,,,,,,1,,,,,,
Flow Map Layout via Spiral Trees,2011,InfoVis,Maps and Geovisualization,"Kevin Verbeek, Kevin Buchin, Bettina Speckmann","Flow maps, Automated Cartography, Spiral Trees.",,,,1,1,,,,,,1,,1,1,,,
Exploring Uncertainty in Geodemographics with Interactive Graphics,2011,InfoVis,Maps and Geovisualization,"Aidan Slingsby, Jason Dykes, Jo Wood","Geodemographics, OAC, classification, cartography, uncertainty.",,,,,1,,1,,1,,,,1,,,1,
Drawing Road Networks with Focus Regions,2011,InfoVis,Maps and Geovisualization,"Jan-Henrik Haunert, Leon Sering","cartography, schematic maps, fish-eye view, graph drawing, optimization, quadratic programming.",1,,,1,,,,,,,1,,,1,,,
Local Affine Multidimensional Projection,2011,InfoVis,Multidimensional Visualization,"Paulo Joia, Fernando V. Paulovich, Danilo Coimbra, Jose A. Cuminato, Luis G. Nonato","Multidimensional Projection, High Dimensional Data, Visual Data Mining.",,1,1,1,,,,,,,1,,1,,,,
"Angular Histograms: Frequency-Based Visualizations for Large, High Dimensional Data",2011,InfoVis,Multidimensional Visualization,"Zhao Geng, ZhenMin Peng, Robert S.Laramee, Rick Walker, Jonathan C. Roberts","Parallel Coordinates, Angular Histogram, Attribute Curves.",,,,1,,,1,,,,,,1,1,,,
DICON: Interactive Visual Analysis of Multidimensional Clusters,2011,InfoVis,Multidimensional Visualization,"Nan Ca, David Gotz, Jimeng Sun, Huamin Qu","Visual Analysis, Clustering, Information Visualization.",,,,,1,,1,,,,,1,1,1,,1,
Brushing Dimensions -- A Dual Visual Analysis Model for High-dimensional Data.,2011,InfoVis,Multidimensional Visualization,"Cagatay Turkay, Peter Filzmoser, Helwig Hauser","Interactive visual analysis, High-dimensional data analysis.",,,,,1,,,,,1,,,1,,,,
MoleView: An Attribute and Structure-based Semantic Lens for Large Element-based Plots,2011,InfoVis,Multidimensional Visualization,"Christophe Hurter, Ozan Ersoy, Alexandru Telea","Semantic lenses, magic lenses, graph bundling, attribute filtering.",1,,1,,1,,,,,,1,,1,,,,
