Title,Year,Category,Session,Author,Keyword,Theoretical Analysis,Speed,Accuracy,Scability,Efficiency,Effectiveness,Satisfaction,Utility,Learnability,Adoption,Productivity,Computational experiments,Subjective experiments ,Case study,Comparison with other method,Empirical analysis,User Study ,,
Dynamic Map Labeling,2006,InfoVis,Geographic Visualization,"Ken Been, Eli Daiches, Chee Yap","Map labeling, dynamic maps, human-computer interface, label placement, label selection, label filtering, label consistency, computational cartography, GIS, HCI, realtime, preprocessing",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Topographic Visualization of Prefix Propagation in the Internet,2006,InfoVis,Network Visualization,"Pier Francesco Cortese, Giuseppe Di Battista, Antonello Moneta, Maurizio Patrignani, Maurizio Pizzonia","Interdomain Routing, Internet Visualization, Graph Drawing, Spring Embedder",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Network Visualization by Semantic Substrates,2006,InfoVis,Network Visualization,"Ben Shneiderman, Aleks Aris","Network visualization, semantic substrate, information visualization, graphical user interfaces.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Hierarchical Edge Bundles: Visualization of Adjacency Relations in Hierarchical Data ,2006,InfoVis,Network Visualization,Danny Holten,"Network visualization, edge bundling, edge aggregation, edge concentration, curves, graph visualization, tree visualization, node-link diagrams, hierarchies, treemaps.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Visualization of Barrier Tree Sequences,2006,InfoVis,Tree and Treemap Applications,"Christian Heine, Gerik Scheuermann, Christoph Flamm, Ivo L. Hofacker, Peter F. Stadler","Graph drawing, dynamic graph, RNA folding, energy landscape, fitness landscape, barrier tree",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
visualizing business data with generalizedtreemps ,2006,InfoVis,Tree and Treemap Applications,"Roel Vliegen, Jarke J. van Wijk, Erik-Jan van der Linden",,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
FacetMap: A Scalable Search and Browse Visualization,2006,InfoVis,Tree and Treemap Applications,"Greg Smith, Mary Czerwinski, Brian Meyers, Daniel Robbins, George Robertson, Desney Tan","Graphical visualization, interactive information retrieval, faceted metadata",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Visual Exploration of Complex Time-Varying Graphs,2006,InfoVis,Graph Drawing,"Gautam Kumar, Michael Garland","Graph and network visualization, financial data visualization, hierarchy visualization, time series data.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Smashing Peacocks Further: Drawing Quasi-Trees from Biconnected Components,2006,InfoVis,Graph Drawing,"Daniel Archambault, Tamara Munzner, David Auber","Graph and Network Visualization, Quasi-Tree",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
IPSep-CoLa: An Incremental Procedure for Separation Constraint Layout of Graphs,2006,InfoVis,Graph Drawing,"Tim Dwyer, Yehuda Koren, Kim Marriott","Graph drawing, constraints, stress majorization, force directed algorithms,multidimensional scaling.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
User Interaction with Scatterplots on Small Screens - A Comparative Evaluation of Geometric-Semantic Zoom and Fisheye Distortion,2006,InfoVis,Overviews and Detail,"Thorsten Buering, Jens Gerken, Harald Reiterer","Small screen, PDA, scatterplot, zoom, fisheye, focus+context.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
The Perceptual Scalability of Visualization,2006,InfoVis,Overviews and Detail,"Beth Yost, Chris North","Information visualization, large displays, empirical evaluation.",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Complex Logarithmic Views for Small Details in Large Contexts,2006,InfoVis,Overviews and Detail,"Joachim Böttger, Michael Balzer, Oliver Deussen","Detail in context, complex logarithm, conformal mappings, analytic functions, interaction.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Software Design Patterns for Information Visualization,2006,InfoVis,Overviews and Detail,"Jeffrey Heer, Maneesh Agrawala","Design patterns, information visualization, software engineering, object-oriented programming",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
