Supporting Effective Common Ground Construction in Asynchronous Collaborative Visual Analytics,2011,VAST,Sensemaking and Collaboration,"Yang Chen, Jamal Alsakran, Scott Barlowe, Jing Yang, Ye Zhao","Visual analytics, asynchronous collaboration, insight, multidimensional visualization.",,,,,1,,,1,,,,1,,,,1
Guiding Feature Subset Selection with an Interactive Visualization,2011,VAST,Visual Computational Analysis of Multivariate Data,"Thorsten May, James Davey, Tobias Ruppert, Andreas Bannach, Jörn Kohlhammer",G.3 [Mathematics of Computing]: Probability and StatisticsﾑContingency Table Analysis; H.5.2 [Information Inter- faces and Presentation]: User InterfacesﾑGraphical User Inter- faces; I.5.2 [Pattern Recognition]: Design MethodologyﾑFeature Evaluation and Selection,,,,,1,,,,,,,,1,,,
Observation-level Interaction with Statistical Models for Visual Analytics,2011,VAST,Visual Computational Analysis of Multivariate Data,"Alex Endert, Chao Han, Dipayan Maiti, Leanna House, Scotland Leman, Chris North","observation-level interaction, visual analytics, statistical models.",1,,1,,,,,,,,1,,1,,1,
Pointwise Local Pattern Exploration for Sensitivity Analysis,2011,VAST,Visual Computational Analysis of Multivariate Data,"Zhenyu Guo, Matthew Ward, Elke Rundensteiner, Carolina Ruiz","Knowledge Discovery, sensitivity analysis, local pat- tern visualization.",1,,,,1,,,,,,1,,1,,,
Interactive Decision Making Using Dissimilarity to Visually Represented Prototypes,2011,VAST,Visual Computational Analysis of Multivariate Data,"Malgorzata Migut, Jan C. van Gemert, Marcel Worring","dissimilarity based classification, dissimilarity based visualization, prototypes, interactive visualization, visual analytics",,,,,1,,,,,,,,1,,,1
Baobab View: Interactive Construction and Analysis of Decision Trees,2011,VAST,Visual Computational Analysis of Multivariate Data,"Stef van den Elzen, Jarke J. van Wijk",H.1.2 [Information Systems]: User/Machine SystemsﾑHuman Information Processing; H.2.8 [Database Man- agement]: Database ApplicationsﾑData Mining; I.3.6 [Computer Graphics]: Methodology and TechniquesﾑInteraction Techniques,,1,,1,,,,,,,1,,1,1,,
From Movement Tracks through Events to Places: Extracting and Characterizing Significant Places from Mobility Data,2011,VAST,Space and Time,"Gennady Andrienko, Natalia Andrienko, Cristophe Hurter, Salvatore Rinzivillo, Stefan Wrobel","movement, trajectories, spatio-temporal data, spatial events, spatial clustering, spatio-temporal clustering",,,1,,1,,,,,,,,1,,1,
Visual Analysis of Route Diversity,2011,VAST,Space and Time,"He Liu, Yuan Gao, Lu Lu, Siyuan Liu, Lionel Ni, Huamin Qu",,,,,,1,,,,,,,,1,,,
SensePlace2: Geotwitter Analytics Support for Situation Awareness,2011,VAST,Space and Time,"Alan M. MacEachren, Anuj Jaiswal, Anthony C. Robinson, Scott Pezanowski, Alexander Savelyev, Prasenjit Mitra, Xaio Zhang, Justine Blanford","social media analytics, scenario-based design, geovisualization, situational awareness, text analytics, crisis management, spatio-temporal analysis.",,1,,,1,,,,1,,1,,1,,,
Visual Analytics Decision Support Environment for Epidemic Modeling and Response Evaluation,2011,VAST,Space and Time,"Shehzad Afzal, Ross Maciejewski, David Ebert",,1,,1,,,,,,1,,1,,1,,,
SAVE: Sensor Anomaly Visualization Engine,2011,VAST,Space and Time,"Lei Shi, Qi Liao, Yuan He, Rui Li, Aaron Striegel, Zhong Su",,,,,,1,,,,,,,,1,,,1
A Visual Navigation System for Querying Neural Stem Cell Imaging Data,2011,VAST,Applications,"Ishwar Kulkarni, Shanaz Mistry, M. Gopi, Brian Cummings","Neuroscience, stem cell segmentation, tracking, cell imaging, data management, visual analytics, navigation, explo- ration, query processing.",,1,,,1,,,,,,,,,1,,1
A Visual Analytics Process for Maritime Resource Allocation and Risk Assessment,2011,VAST,Applications,"Abish Malik, Ross Maciejewski, Ben Maule, David Ebert","Visualanalytics,riskassessment,CoastGuard",,,,,1,,,,,,,,1,,,1
Parallel Topics: A Probabilistic Approach to Exploring Document Collections,2011,VAST,Applications,"Wenwen Dou, Xiaoyu Wang, Remco Chang, William Ribarsky",H.5.2 [INFORMATION INTERFACES AND PRE- SENTATION]: User InterfacesﾑGraphical user interfaces (GUI);,,,,,1,,,,,,,1,1,,,
Analysis of Large Digital Collections with Interactive Visualization,2011,VAST,Applications,"Weijia Xu, Maria Esteva, Suyog Dutt Jain, Varun Jain","Digital collections, archival analysis, visual analytics, data curation",,,,,1,,,,,,,,1,,,
A Two-stage Framework for Designing Visual Analytics System In Organization al Environments,2011,VAST,Applications,"Xiaoyu Wang, Wenwen Dou, Thomas Butkiewicz, Eric Bier, William Ribarsky","Design Theory, Visual Analytics, HCI.",,,,,1,,,,1,,,,1,,,
