Title,Year,Category,Session,Author,Keyword,Speed,Accuracy,Scability,Efficiency,Efficiency,Satisfaction,Utility,Learnability,Adoption,Productivity,Computational experiments,Subjective experiments ,Case study,Comparison with other method,Empirical analysis,User Study ,Theoretical Analysis
The Occlusion Spectrum for Volume Classification and Visualization,2009,SciVis,,"Carlos D. Correa, Kwan-Liu Ma, Senior ","Transfer functions, Ambient Occlusion, Volume Rendering, Interactive Classification.",0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Coloring 3D Line Fields Using Boy’s Real Projective Plane Immersion,2009,SciVis,,"Cagatay Demiralp, John F. Hughes, David H. Laidlaw, Senior","Line field, colormapping, orientation, real projective plane, tensor field, DTI.",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Stress Tensor Field Visualization for Implant Planning in Orthopedics,2009,SciVis,,"Christian Dick, Joachim Georgii, Rainer Burgkart, Rudiger Westermann","Stress Tensor Fields, Biomedical Visualization, Comparative Visualization, Implant Planning, GPU Techniques.",0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Verifiable Visualization for Isosurface Extraction,2009,SciVis,,"Tiago Etiene, Carlos Scheidegger, L. Gustavo Nonato,Robert M. Kirby, Claudio T. Silva, Senior ","Verification, V&V, Isosurface Extraction, Marching Cubes.",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Depth-Dependent Halos: Illustrative Rendering of Dense Line Data,2009,SciVis,,"Maarten H. Everts, Henk Bekker, Jos B.T.M. Roerdink, Tobias Isenberg","Illustrative rendering and visualization, NPR, dense line data, DTI, black-and-white rendering, GPU technique.",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Comparing 3D Vector Field Visualization Methods: A User Study,2009,SciVis,,"Andrew S. Forsberg, Jian Chen, David H. Laidlaw","3D vector fields, visualization, user study, tubes, lines, stereoscopic and monoscopic viewing.",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
Exploring the Millennium Run - Scalable Rendering of Large-Scale Cosmological Datasets,2009,SciVis,,"Roland Fraedrich, Jens Schneider, and Rudiger Westermann","Particle Visualization, Scalability, Cosmology.",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
A Visual Approach to Efficient Analysis and Quantification of Ductile Iron and Reinforced Sprayed Concrete,2009,SciVis,,"Laura Fritz, Markus Hadwiger, Georg Geier, Gerhard Pittino, M. Eduard Groller","Non-Destructive Testing, Multi-Dimensional Transfer Functions, Direction Visualization, Volume Rendering.",1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
Visual Human+Machine Learning,2009,SciVis,,"Raphael Fuchs, Jurgen Waser, Meister Eduard Groller","Interactive Visual Analysis, Volumetric Data, Multiple Competing Hypotheses, Knowledge Discovery, Computer-assisted Multivariate Data Exploration, Curse of Dimensionality, Predictive Analysis, Genetic Algorithm.",0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
Continuous Parallel Coordinates,2009,SciVis,,"Julian Heinrich , Daniel Weiskopf","Parallel coordinates, integrating spatial and non-spatial data visualization, multi-variate visualization, interpolation.",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Kd-Jump: a Path-Preserving Stackless Traversal for Faster Isosurface Raytracing on GPUs,2009,SciVis,,"David M. Hughes, Ik Soo Lim","Raytracing, isosurface, GPU, parallel computing, volume visualization.",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Interactive Volume Rendering of Functional Representations in Quantum Chemistry,2009,SciVis,,"Yun Jang,Ugo Varetto","Quantum Chemistry, GTO, Volume Rendering, GPU.",1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
Visual Exploration of Climate Variability Changes Using Wavelet Analysis,2009,SciVis,,"Heike Janicke, Michael Bottinger, Uwe Mikolajewicz,Gerik Scheuermann","Wavelet analysis, multivariate data, time-dependent data, climate variability change visualization, El Nino.",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Scalable and Interactive Segmentation and Visualization of Neural Processes in EM Datasets,2009,SciVis,,"Won-Ki Jeong, Johanna Beyer,Markus Hadwiger, Amelio Vazquez,Hanspeter Pfister, Ross T. Whitaker","Segmentation, neuroscience, connectome, volume rendering, implicit surface rendering, graphics hardware.",1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
Exploring 3D DTI Fiber Tracts with Linked 2D Representations,2009,SciVis,,"Radu Jianu, Cagatay Demiralp, and David H. Laidlaw","DTI fiber tracts, embedding, coloring, interaction.",0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
Interactive Coordinated Multiple-View Visualization of Biomechanical Motion Data,2009,SciVis,,"Daniel F. Keefe, Member, IEEE, Marcus Ewert, Student Member, IEEE,
William Ribarsky, Senior Member, IEEE, and Remco Chang, Member, IEEE

","Scientific visualization, information visualization, coordinated multiple views, biomechanics.",0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
Sampling and Visualizing Creases with Scale-Space Particles,2009,SciVis,,"Gordon L. Kindlmann, Raul San Jose Estepar, Stephen M. Smith, and Carl-Fredrik Westin","Particle Systems, Crease Features, Ridge and Valley Detection, Lung CT, Diffusion Tensor MRI.",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Volume Ray Casting with Peak Finding and Differential Sampling,2009,SciVis,,"Aaron Knoll, Member, IEEE, Younis Hijazi, Rolf Westerteiger, Mathias Schott Charles Hansen, Senior Member, IEEE and Hans Hagen, Senior Member, IEEE","direct volume rendering, isosurface, ray casting, ray differentials, sampling, transfer function, preintegration, view dependent.",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Time and Streak Surfaces for Flow Visualization in Large Time-Varying Data Sets,2009,SciVis,,"Hari Krishnan, Christoph Garth, and Kenneth I. Joy, Member, IEEE","3D vector field visualization, flow visualization, time-varying, time and streak surfaces, surface extraction.",0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Interactive Visualization of Molecular Surface Dynamics,2009,SciVis,,"Michael Krone, Katrin Bidmon, and Thomas Ertl","Point-based Data, Time-varying Data, GPU, Ray Casting, Molecular Visualization, Surface Extraction, Isosurfaces.",1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Curve-Centric Volume Reformation for Comparative Visualization,2009,SciVis,,"Ove Daae Lampe, Carlos Correa, Member, IEEE, Kwan-Liu Ma, Senior Member, IEEE, and Helwig Hauser, Member, IEEE","Volume Deformation, Curve-Centric-Reformation, Comparative Visualization, Radial Ray-Casting.",0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Visualization and Exploration of Temporal Trend Relationships in Multivariate Time-Varying Data,2009,SciVis,,"Teng-Yok Lee, Student Member, IEEE and Han-Wei Shen","SUBDTW, trend sequence, trend sequence clustering.",0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Isosurface Extraction and View-Dependent Filtering from Time-Varying Fields Using Persistent Time-Octree (PTOT),2009,SciVis,,"Cong Wang, Yi-Jen Chiang","Isosurface extraction, time-varying fields, persistent data structure, view-dependent filtering, out-of-core methods",1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0
Visual Exploration of Climate Variability Changes Using Wavelet Analysis,2009,SciVis,,"Heike Jänicke, Michael Böttinger, Uwe Mikolajewicz, Gerik Scheuermann","Wavelet analysis, multivariate data, time-dependent data, climate variability change visualization, El Nin ̃o",0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0
Interactive Coordinated Multiple-View Visualization of Biomechanical Motion Data,2009,SciVis,,"Daniel F. Keefe, Marcus Ewert, William Ribarsky, Remco Chang","Scientific visualization, information visualization, coordinated multiple views, biomechanics.",0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
Interactive Visualization of Molecular Surface Dynamics,2009,SciVis,,"Michael Krone, Katrin Bidmon, Thomas Ertl","Point-based Data, Time-varying Data, GPU, Ray Casting, Molecular Visualization, Surface Extraction, Isosurfaces",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Stress Tensor Field Visualization for Implant Planning in Orthopedics,2009,SciVis,,"Christian Dick, Joachim Georgii, Rainer Burgkart, Rüdiger Westermann","Stress Tensor Fields, Biomedical Visualization, Comparative Visualization, Implant Planning, GPU Techniques",1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
Visual Exploration of Nasal Airflow,2009,SciVis,,"Stefan Zachow, Philipp Muigg, Thomas Hildebrandt, Helmut Doleisch, Hans-Christian Hege","Flow visualization, exploratory data analysis, interactive visual analysis of scientific data, time-dependent data.",1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
Sampling and Visualizing Creases with Scale-Space Particles,2009,SciVis,,"Gordon L. Kindlmann, Raúl San José Estépar, Stephen M. Smith, Carl-Fredrik Westin","Particle Systems, Crease Features, Ridge and Valley Detection, Lung CT, Diffusion Tensor MRI",0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
Volume Illustration of Muscle from Diffusion Tensor Images,2009,SciVis,,"Wei Chen, Zhicheng Yan, Song Zhang, John Allen Crow, David S. Ebert, Ronald M. McLaughlin, Katie B. Mullins, Robert Cooper, Zi’ang Ding, Jun Liao","Illustrative Visualization, Diffusion Tensor Image, Muscle, Solid Texture Synthesis",1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
A Novel Interface for Interactive Exploration of DTI Fibers,2009,SciVis,,"Wei Chen, Zi’ang Ding, Song Zhang, Anna MacKay-Brandt, Stephen Correia, Huamin Qu, John Allen Crow, David F. Tate, Zhicheng Yan, Qunsheng Peng","Diffusion Tensor Imaging, Fibers, Fiber Clustering, Visualization Interface",1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
Parameter Sensitivity Visualization in DTI Fiber Tracking,2009,SciVis,,"Ralph Brecheisen, Bram Platel, Anna Vilanova, Bart ter Haar Romeny","Fiber Tracking, Parameter Sensitivity, Stopping Criteria, Diffusion Tensor Imaging, Uncertainty Visualization",0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
Exploring 3D DTI Fiber Tracts with Linked 2D Representations,2009,SciVis,,"Radu Jianu, Çağatay Demiralp, David H. Laidlaw","DTI fiber tracts, embedding, coloring, interaction",0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
Coloring 3D Line Fields Using Boy’s Real Projective Plane Immersion,2009,SciVis,,"Çağatay Demiralp, John F. Hughes, David H. Laidlaw","Line field, colormapping, orientation, real projective plane, tensor field, DTI.",0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
The Occlusion Spectrum for Volume Classification and Visualization,2009,SciVis,,"Carlos D. Correa, Kwan-Liu Ma","Transfer functions, Ambient Occlusion, Volume Rendering, Interactive Classification",0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
Structuring Feature Space: A Non-Parametric Method for Volumetric Transfer Function Generation,2009,SciVis,,"Ross Maciejewski, Insoo Woo, Wei Chen, David S. Ebert","Volume rendering, kernel density estimation, transfer function design, temporal volume rendering",0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
Automatic Transfer Function Generation Using Contour Tree Controlled Residue Flow Model and Color Harmonics,2009,SciVis,,"Jianlong Zhou, Masahiro Takatsuka","Volume Rendering, Transfer Function, Contour Tree, Residue Flow, Harmonic Color",1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0
An Interactive Visualization Tool for Multi-channel Confocal Microscopy Data in Neurobiology Research,2009,SciVis,,"Yong Wan, Hideo Otsuna, Chi-Bin Chien, Charles Hansen","Visualization, neurobiology, confocal microscopy, qualitative analysis, volume rendering",1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
BrainGazer – Visual Queries for Neurobiology Research,2009,SciVis,,"Stefan Bruckner, Veronika Šoltészová, M. Eduard Gröller, Jiří Hladůvka, Katja Bühler, Jai Y. Yu, Barry J. Dickson","Biomedical visualization, neurobiology, visual queries, volume visualization",0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
Scalable and Interactive Segmentation and Visualization of Neural Processes in EM Datasets,2009,SciVis,,"Won-Ki Jeong, Johanna Beyer, Markus Hadwiger, Amelio Vazquez, Hanspeter Pfister, Ross T. Whitaker","Segmentation, neuroscience, connectome, volume rendering, implicit surface rendering, graphics hardware",1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
Multimodal Vessel Visualization of Mouse Aorta PET/CT Scans,2009,SciVis,,"Timo Ropinski, Sven Hermann, Rainer Reich, Michael Schäfers, Klaus Hinrichs","Vessel visualization, plaque growth, multipath CPR, vessel flattening",0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0
Quantitative Texton Sequences for Legible Bivariate Maps,2009,SciVis,,Colin Ware,"Bivariate maps, texture, texton, legibility, quantitative texton sequence, QTonS",0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0
Continuous Parallel Coordinates,2009,SciVis,,"Julian Heinrich, Daniel Weiskopf","Parallel coordinates, integrating spatial and non-spatial data visualization, multi-variate visualization, interpolation",1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
VisMashup: Streamlining the Creation of Custom Visualization Applications,2009,SciVis,,"Emanuele Santos, Lauro Lins, James P. Ahrens, Juliana Freire, Cláudio T. Silva","Scientific Visualization, Dataflow, Visualization Systems",0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
Focus+Context Route Zooming and Information Overlay in 3D Urban Environments,2009,SciVis,,"Huamin Qu, Haomian Wang, Weiwei Cui, Yingcai Wu, Ming-Yuen Chan","focus+context visualization, zooming, 3D virtual environment, seam carving",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
